Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air,Lat,Lon
2017-04-25,Territorial sea,Portugal,Portugal - GAMA,1713/2017,Less Serious,40°8.52' N,8°55.26' W,No,03:00,0.0,1.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,,,,,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Trawler - Stern,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,40.142,-8.921
2015-11-30,Territorial sea,Portugal,Portugal - GAMA,4079/2015,Serious,39°49' N,9°20' W,Material damage,14:30,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Material damage,No,No,No,Cargo and tank areas - Cargo hold,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Transit,Yes,,,Fishing vessel - Dredger,PORTUGAL - Nazare,SPAIN - Vigo,Fire/Explosion - Fire,,,No,39.81666666666667,-9.333333333333334
2015-11-30,Territorial sea,Portugal,Portugal - GAMA,4079/2015,Serious,39°49' N,9°20' W,Material damage,14:30,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Transit,Yes,,,Fishing vessel - Dredger,PORTUGAL - Nazare,SPAIN - Vigo,Fire/Explosion - Fire,,,No,39.81666666666667,-9.333333333333334
2018-04-12,High sea - Within EEZ,Portugal,Portugal - GAMA,2019/003085,Less Serious,41°45.3' N,10°7.1' W,,04:50,0.0,0.0,,Not Investigated,Yes,,,Material damage - Affecting performance or operational characteristics of the ship,No,,,Engine department - Engine room,Normal service - In passage - Displacement mode,,,Recommended route,Mid-water,,,,Cargo ship - Solid Cargo - General Cargo,SPAIN - Avilés,SPAIN - Tarragona,Damage / loss of equipment,,,No,41.755,-10.118333333333334
2017-05-04,Territorial sea,Portugal,Portugal - GAMA,2223/2017,Less Serious,40°52.08' N,8°58.44' W,No,08:00,0.0,1.0,,Not Investigated,Yes,Portugal - Leixões,,,,,,Ship - Deck - Boat deck,Fishing - Fishing,,,No routeing system,Mid-water,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Leixoes,PORTUGAL - Leixoes,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,40.868,-8.974
2015-06-10,Territorial sea,Portugal,Portugal - GAMA,2014/2015,Less Serious,38°53.3' N,27°25.9' W,No,13:20,0.0,0.0,,Not Investigated,Yes,Portugal,,No damage,No,No,No,Ship - Other,Normal service - In passage,0.0,0.0,No routeing system,Transit,No,,,Passenger ship - Passenger and Ro-Ro cargo - International,PORTUGAL - Praia da Vitoria,SPAIN - Other,Contact - Floating object,,,No,38.888333333333335,-27.431666666666665
2017-05-25,Territorial sea,Portugal,Portugal - GAMA,2300/2017,Serious,39°38.14' N,9°25.4' W,No,03:55,0.0,2.0,,Not Investigated,Yes,Portugal - Nazaré,,,,,,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,39.635666666666665,-9.423333333333334
2019-10-19,Territorial sea,Portugal,Portugal - GAMA,2019/008902,Very serious,37°41.74' N,9°7.9' W,,11:55,0.0,3.0,,Exceptionally not investigated,Yes,Portugal - Sines,,Loss of ship - Actual loss,Yes,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Transit,,,,Fishing vessel - Potter,PORTUGAL - Sagres,PORTUGAL - Sesimbra,Flooding/Foundering - Flooding - Massive,,,No,37.69566666666667,-9.131666666666666
2025-11-01,Territorial sea,Portugal,Portugal - GAMA,2025/008818,Less Serious,39°22.8' N,31°10' W,,07:20,0.0,1.0,,Not Investigated,Yes,,0.0,,,No,No,Accommodation - Stairway/Ladders,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Departure,,,,Service ship - Special purpose ship,PORTUGAL - Lajes das Flores,PORTUGAL - Other,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,,39.38,-31.166666666666668
2018-07-19,Territorial sea,Portugal,Portugal - GAMA,2633/2018,Very serious,40°45' N,8°54.88' W,No,05:28,0.0,0.0,,Finished,Yes,Portugal - Aveiro,,Material damage,Yes,No,Yes,Engine department - Engine room,Fishing - Fishing,0.0,2.0,No routeing system,Mid-water,Yes,,CRISTO É COMPANHEIRO,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control,,,No,40.75,-8.914666666666667
2018-07-19,Territorial sea,Portugal,Portugal - GAMA,2633/2018,Very serious,40°45' N,8°54.88' W,No,05:28,0.0,0.0,,Finished,Yes,Portugal - Aveiro,,Material damage,Yes,No,Yes,Engine department - Engine room,Fishing - Fishing,0.0,2.0,No routeing system,Mid-water,Yes,,CRISTO É COMPANHEIRO,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control - Loss of containment,,,No,40.75,-8.914666666666667
2018-07-19,Territorial sea,Portugal,Portugal - GAMA,2633/2018,Very serious,40°45' N,8°54.88' W,No,05:28,0.0,0.0,,Finished,Yes,Portugal - Aveiro,,Material damage,Yes,No,Yes,Engine department - Engine room,Fishing - Fishing,0.0,2.0,No routeing system,Mid-water,Yes,,CRISTO É COMPANHEIRO,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Flooding/Foundering - Flooding - Massive,,,No,40.75,-8.914666666666667
2019-04-07,Territorial sea,Portugal,Portugal - GAMA,2019/003112,Serious,39°35.94' N,9°6.7' W,No,17:00,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Propeller/rudder/thruster,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Arrival,,,,Fishing vessel - Trawler - Stern,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control - Loss of propulsion power,,,No,39.599,-9.111666666666666
2024-05-29,High sea - Within EEZ,Portugal,Portugal - GAMA,2024/002453,Marine incident,38°16' N,9°52' W,No,10:25,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Liquid Cargo - Chemical tanker,SPAIN - Huelva,PORTUGAL - Setubal,Damage / loss of equipment,,,No,38.266666666666666,-9.866666666666667
2024-05-29,High sea - Within EEZ,Portugal,Portugal - GAMA,2024/002453,Marine incident,38°16' N,9°52' W,No,10:25,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Liquid Cargo - Chemical tanker,SPAIN - Huelva,PORTUGAL - Setubal,Loss of control - Loss of propulsion power,,,No,38.266666666666666,-9.866666666666667
2025-01-02,Territorial sea,Portugal,Portugal - GAMA,2025/000042,Marine incident,36°42.47' N,8°52.27' W,No,06:42,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Refrigerated Cargo,SPAIN - Ceuta,RUSSIAN FEDERATION - St Petersburg (Ex Leningrad),Damage / loss of equipment,,,No,36.70783333333333,-8.871166666666667
2021-03-11,Territorial sea,Portugal,Portugal - GAMA,2021/001867,Less Serious,38°59.25' N,9°46.16' W,No,11:17,0.0,0.0,,Not Investigated,Yes,Portugal - Lisboa,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Recommended route,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,GREECE - Milos,BELGIUM - Antwerpen,Loss of control - Loss of propulsion power,,,No,38.9875,-9.769333333333334
2021-03-11,Territorial sea,Portugal,Portugal - GAMA,2021/001867,Less Serious,38°59.25' N,9°46.16' W,No,11:17,0.0,0.0,,Not Investigated,Yes,Portugal - Lisboa,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Recommended route,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,GREECE - Milos,BELGIUM - Antwerpen,Damage / loss of equipment,,,No,38.9875,-9.769333333333334
2025-01-18,Territorial sea,Portugal,Portugal - GAMA,2025/000198,Less Serious,37°2' N,9°14' W,No,05:40,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Crossing TSS,Transit,No,,,Cargo ship - Liquid Cargo - Chemical tanker,PORTUGAL - Setubal,SPAIN - Algeciras,Damage / loss of equipment,,,No,37.03333333333333,-9.233333333333333
2025-02-25,Territorial sea,Portugal,Portugal - GAMA,2025/000926,Serious,37°33.471' N,25°33.591' W,No,02:15,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting marine infrastructure or other ship,No,No,No,Ship - Deck - Boat deck,Unknown,0.0,0.0,No routeing system,Departure,No,,,Recreational craft - Sailboat (aux. motor),PORTUGAL - Ponta Delgada,SPAIN - Other,Collision - With other ship,,,No,37.55785,-25.55985
2025-02-25,Territorial sea,Portugal,Portugal - GAMA,2025/000926,Serious,37°33.471' N,25°33.591' W,No,02:15,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,,,Ship - Unknown,Normal service - In passage - Displacement mode,,,No routeing system,Mid-water,,,,Cargo ship - Solid Cargo - Bulk Carrier,Unknown,Unknown,Collision - With other ship,,,No,37.55785,-25.55985
2018-11-25,High sea - Within EEZ,Portugal,Portugal - GAMA,2018/003209,Less Serious,39°50.1' N,10°6.7' W,,20:35,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Minor damage (less than material damage),No,,,Ship - Deck - Main deck,Normal service - In passage - Displacement mode,,,,Transit,,,,Cargo ship - Solid Cargo - General Cargo,Unknown,Unknown,Loss of control - Loss of containment,,,No,39.835,-10.111666666666666
2024-10-28,Territorial sea,Portugal,Portugal - GAMA,2024/005244,Very serious,38°39.2' N,27°15.7' W,,10:15,0.0,0.0,,Not Investigated,Yes,,0.0,Loss of ship - Constructive loss,Yes,No,No,N.A.,Other,0.0,0.0,No routeing system,Anchored or alongside,No,,,Service ship - Research ship,Unknown,Unknown,Flooding/Foundering - Flooding - Progressive,,,No,38.653333333333336,-27.261666666666667
2023-09-05,Territorial sea,Portugal,Portugal - GAMA,2023/005471,Serious,39°53.3' N,9°23.7' W,No,17:00,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Control room,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel,PORTUGAL - Nazare,PORTUGAL - Leixoes,Damage / loss of equipment,,,No,39.888333333333335,-9.395
2019-08-01,Territorial sea,Portugal,Portugal - GAMA,2019/005710,Serious,37°4.626' N,8°40.175' W,No,12:05,0.0,1.0,,Not Investigated,Yes,Portugal - Portimão,,Minor damage (less than material damage),No,No,No,Ship - Deck - Boat deck,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,,,,Recreational craft - Motorboat,PORTUGAL - Portimao,PORTUGAL - Portimao,Contact - Shore object,,,No,37.0771,-8.669583333333334
2019-08-01,Territorial sea,Portugal,Portugal - GAMA,2019/005710,Serious,37°4.626' N,8°40.175' W,No,12:05,0.0,1.0,,Not Investigated,Yes,Portugal - Portimão,,Minor damage (less than material damage),No,No,No,Ship - Deck - Boat deck,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,,,,Recreational craft - Motorboat,PORTUGAL - Portimao,PORTUGAL - Portimao,Flooding/Foundering - Flooding - Progressive,,,No,37.0771,-8.669583333333334
2023-12-09,Territorial sea,Portugal,Portugal - GAMA,2024/000068,Less Serious,37°3.2' N,8°29.5' W,No,12:20,0.0,1.0,,Not Investigated,Yes,,0.0,,No,No,No,Ship - Deck - Open deck,Fishing - Gutting/handling/stowing fish,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel,PORTUGAL - Portimao,PORTUGAL - Portimao,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,No,37.053333333333335,-8.491666666666667
2025-05-11,High sea - Within EEZ,Portugal,Portugal - GAMA,2025/002989,Less Serious,38°1' N,9°54.4' W,,19:00,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,SPAIN - Ferrol,TURKEY - Tuzla,Damage / loss of equipment,,,No,38.016666666666666,-9.906666666666666
2022-10-20,Territorial sea,Portugal,Portugal - GAMA,2022/018831,Serious,38°33.787' N,9°35.791' W,No,18:55,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Steering gear room,Normal service - In passage - Displacement mode,0.0,0.0,Leaving or approaching TSS,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Leixoes,PORTUGAL - Setubal,Loss of control - Loss of directional control,,,No,38.563116666666666,-9.596516666666666
2022-11-10,Territorial sea,Portugal,Portugal - GAMA,2022/019478,Very serious,40°52.6' N,8°48.6' W,,17:45,0.0,0.0,,Finished,Yes,Portugal - Aveiro,1.0,,No,No,No,Ship - Deck - Main deck,Normal service - In passage - Displacement mode,0.0,0.0,,Transit,No,,VIRGILIO MIGUEL,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Vila do Conde,PORTUGAL - Figueira da Foz,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,40.876666666666665,-8.81
2024-03-23,Territorial sea,Portugal,Portugal - GAMA,2024/001302,Marine incident,36°45.2' N,8°13.42' W,No,18:43,0.0,0.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,In a traffic lane,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Brest,SPAIN - Carboneras,Loss of control - Loss of propulsion power,,,No,36.75333333333333,-8.223666666666666
2024-07-24,Territorial sea,Portugal,Portugal - GAMA,2024/003505,Less Serious,38°36.2' N,9°32.8' W,No,21:30,0.0,1.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Accommodation - Galley spaces,Normal service - In passage - Displacement mode,0.0,0.0,Recommended route,Mid-water,,,,Passenger ship - Only passenger,PORTUGAL - Lisboa,UNITED KINGDOM - Southampton,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,38.60333333333333,-9.546666666666667
2019-02-20,Territorial sea,Portugal,Portugal - GAMA,2019/004972,Serious,36°56.1' N,7°56.21' W,Material damage - Without operational consequences,20:30,0.0,0.0,,Not Investigated,Yes,Portugal - Faro,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Propeller/rudder/thruster,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,,,,Fishing vessel - Trawler - Stern,SPAIN - Isla Cristina,PORTUGAL - Sagres,Loss of control - Loss of propulsion power,,,No,36.935,-7.936833333333333
2022-06-08,High sea - Within EEZ,Portugal,Portugal - GAMA,2022/018560,Serious,41°22.9' N,9°15.1' W,,18:30,0.0,0.0,,Not Investigated,Yes,Portugal - Viana do Castelo,0.0,No damage,No,No,No,Engine department - Engine room,Fishing - Fishing,0.0,0.0,,Mid-water,,,,Fishing vessel - Liner,PORTUGAL - Viana do Castelo,PORTUGAL - Viana do Castelo,Loss of control - Loss of propulsion power,,,No,41.38166666666667,-9.251666666666667
2025-01-22,High sea - Within EEZ,Portugal,Portugal - GAMA,2025/000253,Marine incident,36°53.074' N,9°44.28' W,No,13:37,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Steering gear room,Normal service - In passage - Displacement mode,0.0,0.0,Crossing TSS,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Lisboa,TURKEY - Gemlik,Damage / loss of equipment,,,No,36.884566666666665,-9.738
2023-04-26,High sea - Within EEZ,Portugal,Portugal - GAMA,2023/003201,Marine incident,41°2' N,10°4' W,No,17:00,0.0,0.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,POLAND - Szczecin,GREECE - Other,Damage / loss of equipment,,,No,41.03333333333333,-10.066666666666666
2025-07-27,Territorial sea,Portugal,Portugal - GAMA,2025/005414,Less Serious,39°37.5' N,9°16.6' W,No,06:10,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,TURKEY - Hereke,UNITED KINGDOM - Boston,Damage / loss of equipment,,,No,39.625,-9.276666666666667
2019-08-10,Territorial sea,Portugal,Portugal - GAMA,2019/009660,Serious,37°5.13' N,8°25.28' W,No,17:50,0.0,3.0,,Not Investigated,Yes,Portugal - Portimão,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Deck - Boat deck,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,,,,Recreational craft - Motorboat,PORTUGAL - Portimao,PORTUGAL - Portimao,Capsizing/Listing - Capsizing,,,No,37.0855,-8.421333333333333
2025-01-22,High sea - Within EEZ,Portugal,Portugal - GAMA,2025/000254,Marine incident,37°1.1' N,9°27.5' W,No,13:57,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Steering gear room,Normal service - In passage - Displacement mode,0.0,0.0,Crossing TSS,Mid-water,No,,,Cargo ship - Solid Cargo - Bulk Carrier,NETHERLANDS - Rotterdam,UKRAINE - Other,Damage / loss of equipment,,,No,37.01833333333333,-9.458333333333334
2024-01-25,Territorial sea,Portugal,Portugal - GAMA,2024/000646,Less Serious,36°35.27' N,8°56.7' W,No,03:33,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,GREECE - Syros (Syra),UNITED KINGDOM - Falmouth,Loss of control - Loss of propulsion power,,,No,36.587833333333336,-8.945
2024-09-15,Territorial sea,Portugal,Portugal - GAMA,2024/004446,Serious,41°13' N,8°57.13' W,No,01:32,0.0,0.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Ship - Unknown,Normal service - In passage - Displacement mode,0.0,0.0,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - Bulk Carrier,GIBRALTAR - Gibraltar,PORTUGAL - Leixoes,Collision - With other ship,,,No,41.21666666666667,-8.952166666666667
2024-09-15,Territorial sea,Portugal,Portugal - GAMA,2024/004446,Serious,41°13' N,8°57.13' W,No,01:32,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting structural integrity of the ship,,,,,,,,,,,,,,,,Collision - With other ship,,,No,41.21666666666667,-8.952166666666667
2025-03-20,High sea - Within EEZ,Portugal,Portugal - GAMA,2025/002944,Serious,36°18.29' N,9°5.59' W,No,04:00,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,Yes,Ship - Deck - Main deck,Normal service - In passage - Displacement mode,0.0,20.0,No routeing system,Mid-water,Yes,,,Cargo ship - Solid Cargo - Container Ship,Unknown,SPAIN - Vigo,Loss of control - Loss of containment,,,No,36.304833333333335,-9.093166666666667
2023-01-21,High sea - Within EEZ,Portugal,Portugal - GAMA,2023/000601,Less Serious,36°28.92' N,9°0' W,,08:00,0.0,0.0,,Not Investigated,Yes,Portugal - Lagos,0.0,Minor damage (less than material damage),No,No,No,Engine department - Auxiliary engine room,Normal service - In passage - Displacement mode,0.0,0.0,,Transit,,,,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,PORTUGAL - Sines,SPAIN - Algeciras,Damage / loss of equipment,,,No,36.482,-9.0
2022-11-17,High sea - Within EEZ,Portugal,Portugal - GAMA,2023/000354,Less Serious,37°54.16' N,9°15.16' W,,16:45,0.0,0.0,,Not Investigated,Yes,Portugal - Sines,0.0,,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,,Transit,,,,Cargo ship - Solid Cargo - Container Ship,PORTUGAL - Sines,PORTUGAL - Sines,Loss of control - Loss of propulsion power,,,No,37.90266666666667,-9.252666666666666
2025-06-09,Territorial sea,Portugal,Portugal - GAMA,2025/003704,Very serious,40°2.29' N,9°7.18' W,No,01:00,1.0,0.0,,Finished,Yes,,0.0,,,No,No,Ship - Unknown,Fishing - Fishing,0.0,0.0,No routeing system,Transit,,9179804.0,SAO GONCALINHO,Fishing vessel,PORTUGAL - Figueira da Foz,Unknown,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,No,40.03816666666667,-9.119666666666667
2020-06-26,Territorial sea,Portugal,Portugal - GAMA,2020/005872,Serious,40°39.6' N,9°1' W,No,00:01,0.0,0.0,,Not Investigated,Yes,Portugal - Aveiro,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Fishing - Fishing,0.0,0.0,,Mid-water,No,,,Fishing vessel - Multipurpose - Other multipurpose,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Flooding/Foundering - Flooding - Progressive,,,No,40.66,-9.016666666666667
2024-08-01,Territorial sea,Portugal,Portugal - GAMA,2024/003863,Very serious,37°57.63' N,8°53.37' W,No,05:10,0.0,2.0,,Not Investigated,Yes,,0.0,Loss of ship - Constructive loss,No,No,No,Ship - Unknown,Fishing - Gutting/handling/stowing fish,0.0,0.0,Pilotage area,Transit,Unknown,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Sines,PORTUGAL - Sines,Flooding/Foundering - Flooding - Massive,,,No,37.9605,-8.8895
2024-08-01,Territorial sea,Portugal,Portugal - GAMA,2024/003863,Very serious,37°57.63' N,8°53.37' W,No,05:10,0.0,2.0,,Not Investigated,Yes,,0.0,Loss of ship - Constructive loss,No,No,No,Ship - Unknown,Fishing - Gutting/handling/stowing fish,0.0,0.0,Pilotage area,Transit,Unknown,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Sines,PORTUGAL - Sines,Contact - Shore object,,,No,37.9605,-8.8895
2018-05-24,Territorial sea,Portugal,Portugal - GAMA,2044/2018,Very serious,39°25.6' N,9°27.7' W,No,17:00,1.0,0.0,,Finished,Yes,Portugal - Peniche,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,0.0,0.0,No routeing system,Mid-water,,,MESTRE COMBOIO,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Peniche,PORTUGAL - Peniche,Damage / loss of equipment,,,No,39.42666666666667,-9.461666666666666
2023-11-10,Territorial sea,Portugal,Portugal - GAMA,2023/005831,Marine incident,39°0.63' N,9°46.9' W,No,12:53,0.0,0.0,,Not Investigated,Yes,,0.0,,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Bulk Carrier,Unknown,Unknown,Damage / loss of equipment,,,No,39.0105,-9.781666666666666
2021-01-06,Territorial sea,Portugal,Portugal - GAMA,2021/000716,Very serious,41°34.51' N,9°10.75' W,,03:10,0.0,1.0,,Finished,Yes,Portugal - Viana do Castelo,,Loss of ship - Actual loss,Yes,No,No,Engine department - Engine room,Fishing - Shooting/hauling fishing gear,0.0,0.0,No routeing system,Mid-water,No,,Samaritana,Fishing vessel - Gillnetter,PORTUGAL - Viana do Castelo,PORTUGAL - Viana do Castelo,Flooding/Foundering - Flooding - Massive,,,No,41.57516666666667,-9.179166666666667
2024-05-09,High sea - Within EEZ,Portugal,Portugal - GAMA,2024/002223,Marine incident,38°10.41' N,9°47.24' W,No,01:50,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,SPAIN - Avilés,ITALY - La Spezia,Damage / loss of equipment,,,No,38.1735,-9.787333333333333
2018-07-23,Territorial sea,Portugal,Portugal - GAMA,2607/2018,Serious,39°35.74' N,9°6.02' W,No,09:20,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Material damage,No,No,No,Ship - Propeller/rudder/thruster,Fishing - Towing fishing gear,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Trawler - Stern,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control,,,No,39.595666666666666,-9.100333333333333
2018-07-23,Territorial sea,Portugal,Portugal - GAMA,2607/2018,Serious,39°35.74' N,9°6.02' W,No,09:20,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,,Material damage,No,No,No,Ship - Propeller/rudder/thruster,Fishing - Towing fishing gear,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Trawler - Stern,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control - Loss of propulsion power,,,No,39.595666666666666,-9.100333333333333
2020-11-06,High sea - Within EEZ,Portugal,Portugal - GAMA,2021/000323,Less Serious,38°16' N,30°38' W,No,22:00,0.0,1.0,,Not Investigated,Yes,,,No damage,No,No,No,Ship - Deck - Main deck,Fishing - Preparing/stowing fishing gear,0.0,0.0,No routeing system,Mid-water,,,,Fishing vessel - Liner,PORTUGAL - Horta,PORTUGAL - Horta,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,No,38.266666666666666,-30.633333333333333
2025-02-04,High sea - Within EEZ,Portugal,Portugal - GAMA,2025/000438,Less Serious,39°1.791' N,9°45.681' W,No,23:18,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,SPAIN - Huelva,SWEDEN - Ronnskar,Damage / loss of equipment,,,No,39.02985,-9.76135
